id,wifi_SSID,address,manager_center,manager_phone,latitude,longitude
1,Public WiFi Free,"전북특별자치도 전주시 완산구 곤지산4길 12, 전주시립도서관 (동완산동)",전주시청,063-281-2300,35.80883,127.14799
2,Public WiFi Free,"전북특별자치도 전주시 완산구 평화14길 27-51, 평화도서관 (평화동2가)",전주시청,063-281-2300,35.79145,127.13488
3,hyoja4,전북특별자치도 전주시 완산구 우전로 259,전북특별자치도 전주시 완산구청,063-220-5500,35.8176718,127.1015345
4,효자3동,전북특별자치도 전주시 완산구 강변로 180,전북특별자치도 전주시 완산구청,063-220-5500,35.8065593,127.1103409
5,효자2동,전북특별자치도 전주시 완산구 오두정1길 1,전북특별자치도 전주시 완산구청,063-220-5500,35.8068378,127.1195137
6,hyoja1,전북특별자치도 전주시 완산구 안행5길 59-3,전북특별자치도 전주시 완산구청,063-220-5500,35.8058569,127.1300014
7,sam3,전북특별자치도 전주시 완산구 삼천천변2길 37,전북특별자치도 전주시 완산구청,063-220-5500,35.7968626,127.1143079
8,sam2,전북특별자치도 전주시 완산구 거마중앙로 49,전북특별자치도 전주시 완산구청,063-220-5500,35.7963168,127.1223579
9,sam1,전북특별자치도 전주시 완산구 성지산로 33,전북특별자치도 전주시 완산구청,063-220-5500,35.8008188,127.1216158
10,seoshin,전북특별자치도 전주시 완산구 서신천변14길 10,전북특별자치도 전주시 완산구청,063-220-5500,35.8309872,127.1153256
11,평화2동,전북특별자치도 전주시 완산구 평화18길 14-16,전북특별자치도 전주시 완산구청,063-220-5500,35.7955181,127.135285
12,평화1동,전북특별자치도 전주시 완산구 장승배기로 256,전북특별자치도 전주시 완산구청,063-220-5500,35.7980662,127.1403211
13,중화산2동,전북특별자치도 전주시 완산구 화산천변로 30,전북특별자치도 전주시 완산구청,063-220-5500,35.821654,127.1163942
14,iptime,전북특별자치도 전주시 완산구 한두평3길 16,전북특별자치도 전주시 완산구청,063-220-5500,35.8145847,127.1248437
15,서서학동,전북특별자치도 전주시 완산구 공수내로24,전북특별자치도 전주시 완산구청,063-220-5500,35.8057276,127.1487117
16,동서학동,전북특별자치도 전주시 완산구 서학로 26,전북특별자치도 전주시 완산구청,063-220-5500,35.8094822,127.1522589
17,완산동,전북특별자치도 전주시 완산구 강당2길 7,전북특별자치도 전주시 완산구청,063-220-5500,35.8092187,127.1348687
18,노송동,전북특별자치도 전주시 완산구 인봉1길 54,전북특별자치도 전주시 완산구청,063-220-5500,35.8243889,127.1583876
19,풍남동,전북특별자치도 전주시 완산구 어진길 122-12,전북특별자치도 전주시 완산구청,063-220-5500,35.8170375,127.1481118
20,중앙동,전북특별자치도 전주시 완산구 태평3길 43-17,전북특별자치도 전주시 완산구청,063-220-5500,35.8235043,127.1406401
21,wansan,전북특별자치도 전주시 완산구 서원로 232,전북특별자치도 전주시 완산구청,063-220-5500,35.812153,127.1198025
22,Public WiFi Free,전북특별자치도 전주시 덕진구 벚꽃로 55,전북특별자치도 전주시 덕진구청,063-270-6200,35.829451,127.134205
26,Public WiFi Free,전북특별자치도 전주시 덕진구 명주4길 9(인후동2가),전북특별자치도 전주시 덕진구청,063-270-6200,35.845138,127.149494
27,Public WiFi Free,전북특별자치도 전주시 덕진구 인교9길 25(우아동1가),전북특별자치도 전주시 덕진구청,063-270-6200,35.826149,127.175706
28,진북동센터,전북특별자치도 전주시 덕진구 벚꽃1길 8,전북특별자치도 전주시 덕진구청,063-270-6200,35.827992,127.131469
29,inhu,전북특별자치도 전주시 덕진구 견훤로 290,전북특별자치도 전주시 덕진구청,063-270-6200,35.8374601,127.156659
30,Public WiFi Free,전북특별자치도 전주시 덕진구 견훤왕궁로 244,전북특별자치도 전주시 덕진구청,063-270-6200,35.8398462,127.1462397
31,Public WiFi Free,전북특별자치도 전주시 덕진구 구총목로 11,전북특별자치도 전주시 덕진구청,063-270-6200,35.828363,127.1613387
32,덕진동센터,전북특별자치도 전주시 덕진구 기린대로 533-7,전북특별자치도 전주시 덕진구청,063-270-6200,35.845585,127.120702
33,olleh_wifi,전북특별자치도 전주시 덕진구 기린대로 392,전북특별자치도 전주시 덕진구청,063-270-6200,35.8374063,127.1331382
34,olleh_wifi,전북특별자치도 전주시 덕진구 거북바우로 50,전북특별자치도 전주시 덕진구청,063-270-6200,35.8385429,127.143088
35,Public WiFi Free,전북특별자치도 전주시 덕진구 신복5길 6,전북특별자치도 전주시 덕진구청,063-270-6200,35.8536276,127.1062727
36,olleh_wifi,전북특별자치도 전주시 덕진구 우아2길 25,전북특별자치도 전주시 덕진구청,063-270-6200,35.8498168,127.1595847
37,Public WiFi Free,전북특별자치도 전주시 덕진구 진버들7길 25,전북특별자치도 전주시 덕진구청,063-270-6200,35.8377219,127.1670598
38,iptime,전북특별자치도 전주시 덕진구 동부대로 869,전북특별자치도 전주시 덕진구청,063-270-6200,35.8636502,127.149624
39,olleh_wifi,전북특별자치도 전주시 덕진구 송천중앙로 116,전북특별자치도 전주시 덕진구청,063-270-6200,35.8570947,127.1210231
40,Public WiFi Free,전북특별자치도 전주시 덕진구 두간9길 6,전북특별자치도 전주시 덕진구청,063-270-6200,35.8648946,127.1156222
41,olleh_wifi,전북특별자치도 전주시 덕진구 쪽구름로 150,전북특별자치도 전주시 덕진구청,063-270-6200,35.8745192,127.0691918
42,Public WiFi Free,전북특별자치도 전주시 덕진구 여암2길 9,전북특별자치도 전주시 덕진구청,063-270-6200,35.8710292,127.074519
43,혁신동주민센터,전북특별자치도 전주시 덕진구 오공로 43-24,전북특별자치도 전주시 덕진구청,063-270-6200,35.833958,127.062
44,Public WiFi Free,전북특별자치도 전주시 완산구 향교길 139,전북특별자치도 전주시청,063-281-2300,35.8128298,127.1571308
45,Public WiFi Free,전북특별자치도 전주시 완산구 기린대로 99,전북특별자치도 전주시청,063-281-2300,35.818223,127.153715
46,Public WiFi Free,전북특별자치도 전주시 완산구 어진길 29,전북특별자치도 전주시청,063-281-2300,35.8175156,127.1530223
47,Public WiFi Free,전북특별자치도 전주시 덕진구 동부대로 1183,전북특별자치도 전주시청,063-281-2300,35.8673242,127.1178159
48,Public WiFi Free,전북특별자치도 전주시 완산구 효동2길 23,전북특별자치도 전주시청,063-281-2300,35.8044308,127.1268368
49,Public WiFi Free,전북특별자치도 전주시 완산구 태평3길 70,전북특별자치도 전주시청,063-281-2300,35.8252359,127.1424673
50,Public WiFi Free,전북특별자치도 전주시 완산구 태조로6,전북특별자치도 전주시청,063-281-2300,35.8151957,127.1539379
51,Public WiFi Free,전북특별자치도 전주시 덕진구 동부대로 1079,전북특별자치도 전주시청,063-281-2300,35.8692026,127.1289651
52,Public WiFi Free,전북특별자치도 전주시 완산구 아중로 33,전북특별자치도 전주시청,063-281-2300,35.8238191,127.1537316
53,Public WiFi Free,전북특별자치도 전주시 덕진구 가리내로 30,전북특별자치도 전주시청,063-281-2300,35.8347125,127.1324629
54,Public WiFi Free,전북특별자치도 전주시 덕진구 여암2길 9,전북특별자치도 전주시청,063-281-2300,35.871346,127.0755889
55,Public WiFi Free,전북특별자치도 전주시 덕진구 호성로 25,전북특별자치도 전주시청,063-281-2300,35.8542016,127.1515214
56,Public WiFi Free,전북특별자치도 전주시 덕진구 무삼지2길 7,전북특별자치도 전주시청,063-281-2300,35.826335,127.1626206
57,Public WiFi Free,전북특별자치도 전주시 완산구 용리로 107,전북특별자치도 전주시청,063-281-2300,35.7990541,127.121737
58,Public WiFi Free,전북특별자치도 전주시 완산구 팔달로 217-21,전북특별자치도 전주시청,063-281-2300,35.821371,127.1451392
59,Public WiFi Free,전북특별자치도 전주시 완산구 태조로 44,전북특별자치도 전주시청,063-281-2300,35.8143104,127.1501213
60,Public WiFi Free,전북특별자치도 전주시 완산구 노송광장로 10,전북특별자치도 전주시청,063-281-2300,35.8244359,127.147807
61,Public WiFi Free,전북특별자치도 전주시 완산구 경기전길 120,전북특별자치도 전주시청,063-281-2300,35.814128,127.1510233
62,Public WiFi Free,전북특별자치도 전주시 완산구 평화13길 7,전북특별자치도 전주시청,063-281-2300,35.790728,127.1366931
63,Public WiFi Free,전북특별자치도 전주시 덕진구 벚꽃로 55,전북특별자치도 전주시청,063-281-2300,35.8293589,127.1345616
64,Public WiFi Free,전북특별자치도 전주시 완산구 전라감영로 33,전북특별자치도 전주시청,063-281-2300,35.8156251,127.1431738
65,Public WiFi Free,전북특별자치도 전주시 덕진구 완주로 6,전북특별자치도 전주시청,063-281-2300,35.867429,127.1475595
66,Public WiFi Free,전북특별자치도 전주시 덕진구 모래내5길 13-2,전북특별자치도 전주시청,063-281-2300,35.8337911,127.1441961
67,Public WiFi Free,전북특별자치도 전주시 완산구 태평5길 33,전북특별자치도 전주시청,063-281-2300,35.8241424,127.1435316
68,Public WiFi Free,전북특별자치도 전주시 완산구 풍남문2길 63,전북특별자치도 전주시청,063-281-2300,35.8124076,127.1465988
69,Public WiFi Free,전북특별자치도 전주시 덕진구 소리로 68,전북특별자치도 전주시청,063-281-2300,35.8561153,127.1446737
70,Public WiFi Free,전북특별자치도 전주시 완산구 전주객사3길 22,전북특별자치도 전주시청,063-281-2300,35.8183489,127.1425492
